City,Date,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Max Apparent Temp (°C),Min Apparent Temp (°C),Mean Apparent Temp (°C),Sunrise,Sunset,Max Wind Speed (10m) (km/h),Max Wind Gusts (10m) (km/h),Dominant Wind Direction (°),Shortwave Radiation Sum (MJ/m²),PM10,PM2.5,NO,NO2,O3,SO2,CO,NH3,AQI
Islamabad,2024-02-24,16.9,9.4,13.5,14.9,7.1,10.7,2024-02-24T06:43,2024-02-24T17:59,8.6,17.6,311,15.97,167.37875,137.64041666666665,50.90208333333333,89.38833333333334,38.09666666666667,23.096249999999998,3485.2825000000007,76.74333333333335,4.541666666666667
Islamabad,2024-02-25,17.6,8.6,13.3,15.0,5.9,10.7,2024-02-25T06:42,2024-02-25T18:00,10.0,20.2,346,15.52,95.80666666666667,76.05125000000001,25.508749999999992,67.46,42.33541666666667,18.705,2356.250833333333,43.544166666666676,4.0
Islamabad,2024-02-26,15.2,8.0,10.9,12.2,4.6,7.9,2024-02-26T06:41,2024-02-26T18:01,13.8,25.2,326,6.89,100.50291666666665,79.7575,8.879166666666666,49.808333333333316,47.39875,11.071666666666665,1760.7204166666668,32.962916666666665,4.333333333333333
Islamabad,2024-02-27,17.4,7.1,12.1,15.1,4.6,9.7,2024-02-27T06:40,2024-02-27T18:02,16.1,30.6,322,16.39,99.93708333333336,81.24,7.165416666666665,41.01249999999999,75.34750000000001,10.295416666666666,1638.8891666666661,19.368750000000002,4.375
Islamabad,2024-02-28,19.2,9.2,13.8,16.3,6.8,11.4,2024-02-28T06:38,2024-02-28T18:03,15.6,30.2,326,16.68,122.88583333333332,100.48083333333335,15.545833333333333,63.384166666666665,49.912083333333335,10.18,2263.9041666666662,33.422083333333326,4.666666666666667
Islamabad,2024-02-29,17.5,10.9,14.4,16.0,8.2,12.6,2024-02-29T06:37,2024-02-29T18:04,12.3,22.3,327,7.88,204.31458333333333,174.20541666666665,21.575000000000003,70.25833333333334,48.852916666666665,14.922083333333335,2922.2970833333334,36.595000000000006,4.875
Islamabad,2024-03-01,16.0,10.2,12.7,11.8,7.8,10.5,2024-03-01T06:36,2024-03-01T18:04,33.2,58.0,99,3.13,76.55583333333333,68.95375,11.750416666666668,31.460416666666664,59.322916666666664,6.872916666666666,1457.2541666666668,8.080416666666666,3.1666666666666665
Islamabad,2024-03-02,15.1,9.0,12.4,11.3,6.6,9.2,2024-03-02T06:35,2024-03-02T18:05,39.2,69.1,135,5.32,20.663333333333338,18.013333333333332,0.2783333333333334,16.25041666666667,63.302916666666654,4.3012500000000005,725.1500000000001,5.815416666666667,2.2083333333333335
Islamabad,2024-03-03,14.2,6.2,9.3,10.7,2.6,6.2,2024-03-03T06:33,2024-03-03T18:06,22.9,51.1,109,13.93,66.25666666666667,51.52041666666667,18.15166666666667,48.328750000000014,49.63708333333333,9.613333333333335,1800.3575,35.20000000000001,3.3333333333333335
Islamabad,2024-03-04,14.1,4.9,9.2,11.7,2.0,6.5,2024-03-04T06:32,2024-03-04T18:07,12.9,26.6,335,17.67,79.11458333333333,63.68500000000001,19.37333333333334,40.46333333333333,70.65708333333333,10.334999999999999,1661.142916666667,32.587916666666665,3.9166666666666665
Islamabad,2024-03-05,16.5,5.3,10.4,13.5,2.0,7.4,2024-03-05T06:31,2024-03-05T18:08,16.8,32.0,323,18.68,91.61749999999999,77.1575,2.7616666666666667,41.06333333333334,94.66666666666667,8.439166666666667,1390.218333333333,38.07125,4.541666666666667
Islamabad,2024-03-06,18.2,7.4,12.7,17.2,4.0,10.5,2024-03-06T06:30,2024-03-06T18:09,10.9,18.7,323,17.0,169.51125,142.93916666666664,47.247083333333336,97.11958333333332,47.89166666666667,18.03625,3767.0545833333326,60.96583333333333,4.708333333333333
Islamabad,2024-03-07,18.9,10.2,14.4,17.7,8.1,12.5,2024-03-07T06:28,2024-03-07T18:09,11.3,22.0,26,15.99,136.76874999999998,108.17708333333333,53.12541666666667,97.29875,40.13375,21.025416666666665,3552.5958333333333,79.42999999999999,4.583333333333333
Islamabad,2024-03-08,19.0,9.4,14.0,16.8,6.7,11.6,2024-03-08T06:27,2024-03-08T18:10,16.0,31.3,329,18.55,95.12250000000002,77.075,19.45708333333334,60.298333333333346,48.638749999999995,8.565833333333336,2065.578333333334,48.657916666666665,4.458333333333333
